frame,timestamp,classes,confidence
0,0:00:00,smoke,0.595
1,0:00:00.033333,smoke,0.699
2,0:00:00.066667,smoke,0.675
3,0:00:00.100000,smoke,0.747
4,0:00:00.133333,smoke,0.642
5,0:00:00.166667,smoke,0.697
6,0:00:00.200000,smoke,0.603
7,0:00:00.233333,smoke,0.541
8,0:00:00.266667,smoke,0.533
9,0:00:00.300000,smoke,0.575
10,0:00:00.333333,smoke,0.69
11,0:00:00.366667,smoke,0.69
12,0:00:00.400000,smoke,0.513
13,0:00:00.433333,smoke,0.51
14,0:00:00.466667,smoke,0.693
15,0:00:00.500000,smoke,0.53
16,0:00:00.533333,smoke,0.679
17,0:00:00.566667,smoke,0.621
18,0:00:00.600000,smoke,0.614
19,0:00:00.633333,smoke,0.553
20,0:00:00.666667,smoke,0.674
21,0:00:00.700000,smoke,0.708
22,0:00:00.733333,smoke,0.575
23,0:00:00.766667,smoke,0.575
24,0:00:00.800000,smoke,0.667
25,0:00:00.833333,smoke,0.645
26,0:00:00.866667,smoke,0.71
27,0:00:00.900000,smoke,0.71
28,0:00:00.933333,smoke,0.54
29,0:00:00.966667,smoke,0.693
30,0:00:01,smoke,0.671
31,0:00:01.033333,smoke,0.68
32,0:00:01.066667,smoke,0.68
33,0:00:01.100000,smoke,0.619
34,0:00:01.133333,smoke,0.671
35,0:00:01.166667,smoke,0.536
36,0:00:01.200000,smoke,0.536
37,0:00:01.233333,smoke,0.594
38,0:00:01.266667,smoke,0.675
39,0:00:01.300000,smoke,0.672
40,0:00:01.333333,smoke,0.661
41,0:00:01.366667,smoke,0.661
42,0:00:01.400000,smoke,0.752
43,0:00:01.433333,smoke,0.638
44,0:00:01.466667,smoke,0.672
45,0:00:01.500000,smoke,0.672
46,0:00:01.533333,smoke,0.67
47,0:00:01.566667,smoke,0.592
48,0:00:01.600000,smoke,0.641
49,0:00:01.633333,smoke,0.642
50,0:00:01.666667,smoke,0.642
51,0:00:01.700000,smoke,0.56
52,0:00:01.733333,smoke,0.646
53,0:00:01.766667,smoke,0.651
54,0:00:01.800000,smoke,0.651
55,0:00:01.833333,smoke,0.686
56,0:00:01.866667,smoke,0.548
